date,open,high,low,close
1638691200000,49289.18000000,49561.00000000,36230.54000000,49472.93000000
1638694800000,49471.27000000,49474.02000000,9851.00000000,48995.24000000
1638698400000,48990.84000000,49490.00000000,47888.89000000,49233.74000000
1638702000000,49232.04000000,49382.48000000,45795.87000000,49262.70000000
1638705600000,49262.70000000,49670.00000000,47263.09000000,49379.93000000
1638709200000,49380.87000000,78999.00000000,44780.15000000,49307.51000000
1638712800000,49290.02000000,56134.00000000,47949.46000000,48929.10000000
1638716400000,48924.20000000,49104.08000000,46450.16000000,47944.62000000
1638720000000,47936.24000000,56057.97000000,47887.14000000,48475.76000000
1638723600000,48481.74000000,78999.00000000,44492.65000000,49255.72000000
1638727200000,49262.21000000,78999.00000000,41647.36000000,49089.19000000
1638730800000,49089.19000000,56134.00000000,47573.78000000,48902.00000000
1638734400000,48902.45000000,56134.00000000,46317.91000000,48859.99000000
1638738000000,48810.21000000,56137.00000000,20000.00000000,49162.94000000
1638741600000,49158.84000000,56133.96000000,47193.29000000,49214.82000000
1638745200000,49214.10000000,49529.21000000,49011.39000000,49396.24000000
1638748800000,49396.33000000,56057.97000000,43084.31000000,48741.69000000
1638752400000,48743.64000000,48989.99000000,39913.31000000,48798.05000000
1638756000000,48804.20000000,56134.00000000,38117.22000000,48866.13000000
1638759600000,48862.10000000,49187.88000000,48812.71000000,49018.47000000
1638763200000,49013.71000000,49253.60000000,48959.06000000,48981.46000000
1638766800000,48979.66000000,56057.97000000,48000.00000000,48683.26000000
1638770400000,48675.05000000,48752.25000000,48104.86000000,48151.77000000
1638774000000,48160.61000000,48427.34000000,47683.82000000,48410.43000000
1638777600000,48406.54000000,49343.98000000,47391.48000000,48176.26000000
1638781200000,48127.99000000,48310.89000000,31667.67000000,47434.75000000
1638784800000,47417.60000000,78999.67000000,38691.61000000,47479.11000000
1638788400000,47481.39000000,48707.80000000,47130.77000000,48567.23000000
1638792000000,48563.61000000,48800.19000000,48305.41000000,48461.90000000
1638795600000,48465.46000000,48695.29000000,47968.87000000,48304.46000000
1638799200000,48309.40000000,48560.75000000,47888.66000000,48197.99000000
1638802800000,48191.23000000,48994.28000000,48019.01000000,48994.28000000
1638806400000,48945.87000000,49188.35000000,48301.00000000,49122.99000000
1638810000000,49129.73000000,49256.34000000,48301.00000000,48965.19000000
1638813600000,48961.24000000,49219.40000000,48362.03000000,49173.06000000
1638817200000,49174.05000000,49400.00000000,47978.66000000,49099.66000000
1638820800000,49103.00000000,100000.00000000,48661.00000000,48823.05000000
1638824400000,48823.05000000,51894.31000000,47422.98000000,50058.30000000
1638828000000,50063.29000000,52153.79000000,47212.09000000,50758.34000000
1638831600000,50748.10000000,50900.00000000,47009.65000000,50441.92000000
1638835200000,50441.92000000,50749.97000000,46529.69000000,50636.54000000
1638838800000,50634.57000000,53989.55000000,25882.97000000,50620.19000000
1638842400000,50582.69000000,52300.00000000,25882.97000000,50635.26000000
1638846000000,50635.24000000,50990.77000000,25882.97000000,50945.01000000
1638849600000,50945.03000000,51621.52000000,50777.35000000,50911.46000000
1638853200000,50911.43000000,51199.53000000,50825.99000000,50869.57000000
1638856800000,50872.61000000,51200.01000000,50753.63000000,51140.00000000
1638860400000,51143.83000000,51312.96000000,50811.44000000,50907.74000000
1638864000000,50907.26000000,52132.63000000,50601.14000000,51207.12000000
1638867600000,51183.82000000,70000.00000000,50601.14000000,51255.32000000
1638871200000,51257.87000000,56133.96000000,50584.11000000,51310.36000000
1638874800000,51309.10000000,51489.28000000,51187.78000000,51457.76000000
1638878400000,51456.21000000,51525.60000000,50643.06000000,50925.00000000
1638882000000,50900.00000000,120000.00000000,9782.00000000,50910.35000000
1638885600000,50912.55000000,50931.53000000,40086.00000000,50931.53000000
1638889200000,50931.53000000,51924.53000000,49904.91000000,51732.04000000
1638892800000,51732.04000000,51941.85000000,51085.18000000,51353.19000000
1638896400000,51350.01000000,51370.46000000,50850.01000000,51000.00000000
1638900000000,50978.66000000,51169.55000000,50611.28000000,50920.58000000
1638903600000,50918.01000000,51161.64000000,50666.01000000,50877.02000000
1638907200000,50860.57000000,51001.18000000,50154.77000000,50394.75000000
1638910800000,50394.75000000,50876.57000000,49695.49000000,50492.48000000
1638914400000,50487.42000000,50609.67000000,49695.49000000,50237.10000000
1638918000000,50226.03000000,50733.29000000,49695.49000000,50586.51000000
1638921600000,50588.94000000,50733.29000000,49695.49000000,50715.97000000
1638925200000,50693.28000000,50795.40000000,47971.06000000,50420.83000000
1638928800000,50420.83000000,50757.72000000,47971.06000000,50322.83000000
1638932400000,50322.83000000,51264.54000000,50102.21000000,50123.92000000
1638936000000,50108.37000000,50408.96000000,50077.01000000,50213.69000000
1638939600000,50229.53000000,50545.16000000,50134.31000000,50403.64000000
1638943200000,50404.90000000,50699.56000000,50393.01000000,50622.31000000
1638946800000,50613.15000000,75000.00000000,46771.79000000,50475.39000000
1638950400000,50475.39000000,50590.20000000,50239.75000000,50409.34000000
1638954000000,50411.63000000,50951.55000000,47773.88000000,50117.12000000
1638957600000,50115.29000000,50314.45000000,49232.12000000,49232.12000000
1638961200000,49232.12000000,49411.62000000,48824.70000000,49170.18000000
1638964800000,49170.18000000,49300.01000000,48612.01000000,49239.95000000
1638968400000,49240.00000000,49920.25000000,48493.64000000,49047.00000000
1638972000000,49048.29000000,50823.08000000,48493.64000000,50738.29000000
1638975600000,50731.53000000,51274.17000000,49704.33000000,50634.94000000
1638979200000,50638.91000000,51338.65000000,49601.14000000,50433.66000000
1638982800000,50434.14000000,50725.50000000,49232.20000000,50263.20000000
1638986400000,50266.54000000,50615.80000000,50000.00000000,50544.80000000
1638990000000,50548.71000000,51158.33000000,50315.78000000,50423.20000000
1638993600000,50423.21000000,50821.57000000,50315.78000000,50692.29000000
1638997200000,50689.02000000,50804.99000000,50456.77000000,50456.77000000
1639000800000,50589.52000000,50821.57000000,50100.00000000,50211.04000000
1639004400000,50214.91000000,50746.30000000,50167.50000000,50466.58000000
1639008000000,50471.01000000,50821.57000000,50100.00000000,50403.86000000
1639011600000,50399.84000000,50501.32000000,50100.00000000,50179.87000000
1639015200000,50177.79000000,50276.81000000,48672.91000000,49886.01000000
1639018800000,49887.38000000,245932.50000000,48672.91000000,49519.26000000
1639022400000,49469.39000000,74687.00000000,49429.97000000,49817.22000000
1639026000000,49816.07000000,49995.31000000,48672.91000000,49757.62000000
1639029600000,49745.01000000,50066.89000000,49401.74000000,49601.00000000
1639033200000,49615.46000000,50195.80000000,49226.99000000,50003.72000000
1639036800000,50003.72000000,50211.58000000,48464.77000000,49509.38000000
1639040400000,49493.59000000,50221.47000000,20000.00000000,49214.21000000
1639044000000,49206.77000000,49400.45000000,48616.27000000,49328.96000000
1639047600000,49300.83000000,49426.46000000,48151.07000000,49176.87000000
1639051200000,49156.87000000,49451.09000000,48566.66000000,49415.92000000
1639054800000,49405.00000000,49451.09000000,48963.95000000,49342.07000000
1639058400000,49338.38000000,49625.78000000,48106.54000000,48581.01000000
1639062000000,48569.17000000,48950.19000000,47570.42000000,48462.07000000
1639065600000,48462.08000000,48780.55000000,48225.22000000,48530.21000000
1639069200000,48504.98000000,48892.10000000,48132.48000000,48161.70000000
1639072800000,48171.66000000,50075.39000000,47437.05000000,47738.08000000
1639076400000,47748.50000000,48008.00000000,47558.18000000,47611.15000000
1639080000000,47613.52000000,47716.39000000,47321.36000000,47680.04000000
1639083600000,47680.31000000,48200.00000000,47072.30000000,47979.31000000
1639087200000,47976.74000000,48361.14000000,45512.23000000,47875.19000000
1639090800000,47945.20000000,48361.14000000,47280.01000000,47555.14000000
1639094400000,47539.82000000,48403.62000000,47321.36000000,48012.58000000
1639098000000,48014.02000000,48553.85000000,45512.23000000,48426.81000000
1639101600000,48410.12000000,48815.72000000,47321.36000000,48517.42000000
1639105200000,48523.15000000,79217.14000000,42182.35000000,48376.88000000
1639108800000,48373.48000000,72735.29000000,42182.35000000,48183.87000000
1639112400000,48170.68000000,72564.00000000,47972.51000000,48244.04000000
1639116000000,48246.42000000,72382.83000000,10000.00000000,47845.83000000
1639119600000,47845.83000000,74278.95000000,10000.00000000,47664.31000000
1639123200000,47664.33000000,147143.54000000,9469.95000000,48090.34000000
1639126800000,48090.34000000,49068.07000000,9474.54000000,48124.77000000
1639130400000,47213.89000000,48124.77000000,10092.50000000,46741.75000000
1639134000000,47213.89000000,99791.51000000,9000.00000000,48333.55000000
1639137600000,48333.55000000,48333.55000000,15000.00000000,48333.55000000
1639141200000,48333.55000000,49498.85000000,47895.15000000,49498.85000000
1639144800000,49498.85000000,49983.84000000,48213.32000000,48289.72000000
1639148400000,48289.72000000,49364.63000000,47818.71000000,47980.47000000
1639152000000,47979.22000000,48669.88000000,47101.43000000,47539.08000000
1639155600000,47543.67000000,47746.45000000,47101.43000000,47695.55000000
1639159200000,47695.55000000,48154.53000000,47640.00000000,47827.10000000
1639162800000,47822.77000000,48166.88000000,47664.40000000,48120.35000000
1639166400000,48084.23000000,48457.81000000,48073.33000000,48411.36000000
1639170000000,48414.37000000,48512.71000000,47842.58000000,47922.48000000
1639173600000,47932.06000000,48098.89000000,47509.73000000,47517.40000000
1639177200000,47518.25000000,47962.42000000,47101.43000000,47157.75000000
1639180800000,47169.01000000,48434.64000000,46159.41000000,47749.91000000
1639184400000,47746.29000000,48618.35000000,47663.21000000,47915.73000000
1639188000000,47914.36000000,48249.97000000,47900.01000000,48248.98000000
1639191600000,48249.00000000,48618.35000000,47850.00000000,48293.29000000
1639195200000,48297.00000000,48618.35000000,48263.73000000,48528.59000000
1639198800000,48543.79000000,48618.35000000,46159.41000000,48322.47000000
1639202400000,48320.05000000,48644.69000000,46159.41000000,48047.00000000
1639206000000,48040.52000000,48644.69000000,46159.41000000,48026.25000000
1639209600000,48014.01000000,48804.96000000,46159.41000000,48390.00000000
1639213200000,48391.52000000,48878.37000000,45005.43000000,48529.63000000
1639216800000,48528.71000000,48878.37000000,45005.43000000,48381.66000000
1639220400000,48381.65000000,48458.57000000,45005.43000000,48214.64000000
1639224000000,48226.28000000,48569.90000000,45005.43000000,48524.21000000
1639227600000,48506.04000000,48874.60000000,45005.43000000,48353.21000000
1639231200000,48353.49000000,48665.56000000,45005.43000000,48477.45000000
1639234800000,48460.15000000,48827.25000000,45005.43000000,48751.78000000
1639238400000,48754.19000000,49255.11000000,45005.43000000,48986.07000000
1639242000000,48983.91000000,49113.32000000,48696.16000000,48696.16000000
1639245600000,48700.00000000,48915.30000000,48233.07000000,48671.59000000
1639249200000,48657.57000000,49185.11000000,48233.07000000,48405.06000000
1639252800000,48407.26000000,48762.13000000,48394.04000000,48561.16000000
1639256400000,48564.07000000,49008.27000000,48402.43000000,48780.01000000
1639260000000,48779.30000000,49194.09000000,47745.85000000,48826.43000000
1639263600000,48826.43000000,49672.09000000,47745.85000000,49362.23000000
1639267200000,49366.32000000,49672.09000000,47745.85000000,49332.88000000
1639270800000,49329.14000000,49686.07000000,43655.27000000,49181.33000000
1639274400000,49181.33000000,49350.80000000,49025.54000000,49039.71000000
1639278000000,49044.37000000,49386.12000000,43655.27000000,49307.72000000
1639281600000,49297.43000000,49689.60000000,43655.27000000,48867.56000000
1639285200000,48865.16000000,49069.97000000,48525.66000000,48978.36000000
